Partido;Presidente;Trimestre;PBI ($mil);Total Deuda Publica ($mil)
Demócrata;Lyndon B. Johnson;1/1/1966;795,734;320999
Demócrata;Lyndon B. Johnson;1/4/1966;804,981;316097
Demócrata;Lyndon B. Johnson;1/7/1966;819,638;324748
Demócrata;Lyndon B. Johnson;1/10/1966;833,302;329319
Demócrata;Lyndon B. Johnson;1/1/1967;844,17;330947
Demócrata;Lyndon B. Johnson;1/4/1967;848,983;322893
Demócrata;Lyndon B. Johnson;1/7/1967;865,233;335896
Demócrata;Lyndon B. Johnson;1/10/1967;881,439;344663
Demócrata;Lyndon B. Johnson;1/1/1968;909,387;349473
Demócrata;Lyndon B. Johnson;1/4/1968;934,344;345369
Demócrata;Lyndon B. Johnson;1/7/1968;950,825;354743
Demócrata;Lyndon B. Johnson;1/10/1968;968,03;358029
Demócrata;Lyndon B. Johnson;1/1/1969;993,337;359546
Republicano;Richard Nixon;1/4/1969;1009,02;352895
Republicano;Richard Nixon;1/7/1969;1029,956;360685
Republicano;Richard Nixon;1/10/1969;1038,147;368226
Republicano;Richard Nixon;1/1/1970;1051,2;372007
Republicano;Richard Nixon;1/4/1970;1067,375;370094
Republicano;Richard Nixon;1/7/1970;1086,059;378678
Republicano;Richard Nixon;1/10/1970;1088,608;389158
Republicano;Richard Nixon;1/1/1971;1135,156;391668
Republicano;Richard Nixon;1/4/1971;1156,271;397305
Republicano;Richard Nixon;1/7/1971;1177,675;412268
Republicano;Richard Nixon;1/10/1971;1190,297;424131
Republicano;Richard Nixon;1/1/1972;1230,609;427344
Republicano;Richard Nixon;1/4/1972;1266,369;426435
Republicano;Richard Nixon;1/7/1972;1290,566;433946
Republicano;Richard Nixon;1/10/1972;1328,904;448473
Republicano;Richard Nixon;1/1/1973;1377,49;458606
Republicano;Richard Nixon;1/4/1973;1413,887;457317
Republicano;Richard Nixon;1/7/1973;1433,838;460614
Republicano;Richard Nixon;1/10/1973;1476,289;469073
Republicano;Richard Nixon;1/1/1974;1491,209;473675
Republicano;Richard Nixon;1/4/1974;1530,056;474235
Republicano;Richard Nixon;1/7/1974;1560,026;481466
Republicano;Gerald Ford;1/10/1974;1599,679;492664
Republicano;Gerald Ford;1/1/1975;1616,116;509659
